channel,unit,modulation_depth_hz,rate_dir_0_N_hz,rate_dir_1_NE_hz,rate_dir_2_E_hz,rate_dir_3_SE_hz,rate_dir_4_S_hz,rate_dir_5_SW_hz,rate_dir_6_W_hz,rate_dir_7_NW_hz
1,1,24.78,38.83,37.86,37.09,51.41,61.87,51.1,37.64,40.18
4,1,8.03,25.57,30.0,24.6,22.73,23.06,25.39,21.97,24.25
5,1,2.78,3.52,4.67,3.58,3.04,2.91,5.7,4.41,3.78
6,1,4.72,6.46,8.65,5.07,6.8,7.04,8.1,6.17,3.93
8,1,3.66,5.23,5.62,2.75,1.96,3.19,4.23,3.41,3.41
9,1,13.82,20.13,15.63,18.1,20.53,22.6,24.8,29.45,20.0
9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,3.13,6.31,4.49,3.37,3.18,3.47,4.82,4.93,4.59
11,1,4.04,6.1,7.52,10.14,9.94,6.21,7.69,8.42,7.32
11,2,0.21,0.21,0.1,0.11,0.16,0.0,0.19,0.09,0.09
12,1,9.57,15.44,13.91,8.21,5.87,10.71,9.48,11.37,13.19
13,1,2.35,2.37,1.59,1.72,3.94,2.28,1.59,1.79,2.11
14,1,3.42,9.38,8.54,6.07,6.13,5.96,6.35,6.65,7.47
15,1,1.31,1.49,1.2,0.93,1.9,1.36,2.23,1.99,1.69
16,1,6.14,4.47,4.8,3.97,2.14,6.51,8.28,8.06,6.19
17,1,4.98,14.28,16.37,15.93,11.39,13.56,14.62,13.82,14.42
17,2,0.92,0.6,0.24,0.3,0.0,0.58,0.92,0.73,0.42
19,1,5.87,4.89,7.87,7.74,3.06,2.22,2.24,2.01,2.98
20,1,2.84,5.16,7.07,5.2,4.23,4.34,5.43,4.9,4.31
22,1,2.17,2.61,2.87,0.7,0.98,1.7,1.65,1.56,2.11
23,1,6.11,10.56,11.43,8.92,7.02,6.75,10.59,12.86,11.19
24,1,7.42,7.18,10.49,6.13,3.5,3.07,3.86,5.27,5.48
25,1,1.63,4.05,4.54,4.72,3.09,3.78,3.8,4.65,4.43
